,UT,abstract,authors,citations,cities,countries,doi,location,population,title,year
10,WOS:000407655700037,"A growing number of governments have begun to implement benchmarking or energy disclosure policies. By requiring owners to measure and disclose their energy use, these policies are intended to transform the market for energy-efficient investments in existing buildings. To improve future policy efforts, two critical questions are: first, how much energy do these policies save? and second, what particular aspects of these policies are most effective? To answer these questions, this study explores how different aspects of these policies were phased-in to different groups of buildings over the first four years of the City of New York's benchmarking ordinance. By applying a novel difference-in-differences strategy, we can causally attribute observed declines in energy consumption to specific owner behaviors and policy mechanisms. Our analysis indicates that in comparison with the control group and before the policies were implemented in 2011, total disclosure of both energy use and Energy Star together can be credited with a 6% reduction in building energy use intensity (EUI) three years later and a 14% reduction in EUI four years later. Disclosure of Energy Star scores decreased building EUI by 9% three years later and 13% four years later. These two separate findings are a consequence of the policy design and different control groups. (C) 2017 Elsevier Ltd. All rights reserved.",,0,New York City,USA,10.1016/j.energy.2017.05.148,SRID=4326;POINT (-74.00597 40.71427),8175133,Estimating energy savings from benchmarking policies in New York City,2017
11,WOS:000391611000027,"This study applied the interprovincial input-output model to calculate the carbon footprint of 30 provinces and the interprovincial transfer of embodied CO2 emissions in China. The results indicate that there are significant differences in the carbon footprints and the per capita carbon footprints of these provinces. The provinces with large carbon footprints are the economically developed provinces, while those with high per capita carbon footprints are the provinces that include central cities, such as Beijing and Shanghai, and the areas with abundant resources and heavy industry bases. The spatial transfer of embodied CO2 emissions in China occurs as follows: from economically developed provinces to provinces with rich resources and intensive heavy industries, from southern provinces to northern provinces, and from coastal provinces to inland provinces. To meet the demand of the coastal, southern, and economically developed provinces, the inland, northern provinces have assumed responsibility for most CO2 emissions. Thus, the domain decomposition of the responsibility for the reduction of CO2 emissions in China must take into account the spatial transfer of embodied CO2 emissions. The responsibility of producers and consumers should be integrated when establishing the indexes for the reduction of CO2 emissions in the various provinces of China. To design a comprehensive burden-sharing scheme for CO2 emissions, especially with respect to the carbon tax, the consumer principle needs to be considered; coastal provinces such as Jiangsu, Zhejiang, and Guangdong and southern economically developed provinces are obliged to assume greater responsibility for the reduction of CO2 emissions.","Wu, SM, Lei, YL, Li, ST",2,Shanghai; Beijing,CHN; CHN,10.1007/s11069-016-2585-5,SRID=4326;POINT (121.45806 31.22222); SRID=4326;POINT (116.39723 39.9075),22315474; 11716620,Provincial carbon footprints and interprovincial transfer of embodied CO2 emissions in China,2017
12,WOS:000408754100001,"The restoration of degraded forests to enhance biodiversity, ecosystem services, as well as climate change mitigation and adaptation is now a major priority in cities around the world. This study evaluated the success of the Buffelsdraai Landfill Site Community Reforestation Project in Durban, South Africa, by assessing ecological attributes. Measures of plant richness, diversity, vegetation structure, invasive alien plants (IAPs) and ecological processes were contrasted across a chronosequence of habitats under restoration (0-year-old, 3-year-old and 5-year-old) and compared with a reference forest habitat (remnant natural forest). Native tree species recruitment and vegetation structure increased with restoration age. Ecological processes, represented by the composition of pollination and seed dispersal traits in all of the habitats under restoration, were similar to the reference habitat. However, low tree density and an increase in IAP cover with an increase in restoration age were identified as threats to reforestation success. We recommend enrichment planting and an effective IAP management strategy to promote more rapid habitat restoration while reducing site maintenance costs. Enrichment planting should not only focus on increasing tree species density and richness, but also on the inclusion of species with missing pollination and seed dispersal categories.",,1,Durban,ZAF,10.3390/f8080255,SRID=4326;POINT (31.0292 -29.8579),3120282,"An Assessment of a Community-Based, Forest Restoration Programme in Durban (eThekwini), South Africa",2017
13,WOS:000383742900002,"We report on more than 3 years of measurements of fluxes of methane (CH4), carbon monoxide (CO) and carbon dioxide (CO2) taken by eddy-covariance in central London, UK. Mean annual emissions of CO2 in the period 2012-2014 (39.1 +/- 2.4 ktons km(-2) yr(-1)) and CO (89 +/- 16 tons km 2 yr(-1)) were consistent (within 1 and 5% respectively) with values from the London Atmospheric Emissions Inventory, but measured CH4 emissions (72 +/- 3 tons km(2) yr(-1) were over two-fold larger than the inventory value. Seasonal variability was large for CO with a winter to summer reduction of 69 %, and monthly fluxes were strongly anti-correlated with mean air temperature. The winter increment in CO emissions was attributed mainly to vehicle cold starts and reduced fuel combustion efficiency. CO2 fluxes were 33% higher in winter than in summer and anti-correlated with mean air temperature, albeit to a lesser extent than for CO. This was attributed to an increased demand for natural gas for heating during the winter. CH4 fluxes exhibited moderate seasonality (21% larger in winter), and a spatially variable linear anti-correlation with air temperature. Differences in resident population within the flux footprint explained up to 90% of the spatial variability of the annual CO2 fluxes and up to 99% for CH4. Furthermore, we suggest that biogenic sources of CH4, such as wastewater, which is unaccounted for by the atmospheric emissions inventories, make a substantial contribution to the overall budget and that commuting dynamics in and out of central business districts could explain some of the spatial and temporal variability of CO2 and CH4 emissions. To our knowledge, this study is unique given the length of the data sets presented, especially for CO and CH4 fluxes. This study offers an independent assessment of ""bottom-up"" emissions inventories and demonstrates that the urban sources of CO and CO2 are well characterized in London. This is however not the case for CH4 emissions which are heavily underestimated by the inventory approach. Our results and others point to opportunities in the UK and abroad to identify and quantify the ""missing"" sources of urban methane, revise the methodologies of the emission inventories and devise emission reduction strategies for this potent greenhouse gas.","Helfter, C, Tremper, AH, Halios, CH, Kotthaus, S, Bjorkegren, A, Grimmond, CSB, Barlow, JF, Nemitz, E",4,London,GBR,10.5194/acp-16-10543-2016,SRID=4326;POINT (-0.12574 51.50853),7556900,"Spatial and temporal variability of urban fluxes of methane, carbon monoxide and carbon dioxide above London, UK",2016
14,WOS:000293262700003,"In a Middle Eastern environment typified by very rapid development growth, a strong emphasis on use of the car, low fuel costs, an evolving public transport system, an extremely aggressive climate and a complex socio-economic framework, Masdar City in Abu Dhabi aspires to become of one of the most sustainable cities in the world. Gaining from the experience in Masdar City, this paper explores and highlights the general requirements and challenges in developing a modelling system to assist with the sustainable planning and implementation of an integrated virtually carbon dioxide-neutral transport system, which includes the option of an innovative electric transport system such as personal rapid transit (PRT). The paper identifies travel demand and supply characteristics to be considered and explains the specific modelling requirements compared with more conventional situations. Key considerations are the quantification of demand patterns, determination of public transport and PRT patronage, the integration between external and internal systems and verification of the performance of all system components.","Menichetti, D, van Vuren, T",2,Abu Dhabi,ARE,10.1680/tran.2011.164.3.141,SRID=4326;POINT (54.36667 24.46667),603492,Modelling a low-carbon city,2011
15,WOS:000425078000004,"The area of the Beijing-Tianjin-Hebei (Jing-Jin-Ji) region is about 2.25% of China land area. But the energy consumption and carbon emission of Jing-Jin-Ji region account for more than 10% of China's total consumption and emissions. To reduce the region's energy consumption and carbon emission, we studied energy flow process in this region. The previous research on energy flow is concentrated on a single scale, with little multi-scale integration. In this study, based on framework of urban metabolism, we used ecological network analysis method to study the region's energy metabolism and ecological relationship among nodes at two scales: in 3-node and 13-node models of the agglomeration. The integral (direct + indirect) energy consumption in the 3-node model first increased, then decreased, from 2002 to 2010; consumption in the 13-node model first decreased, then increased. The direct and integral energy flows showed that Hebei provided the most energy to Beijing in the 3-node network; in the 13-node network, Tangshan provided the most energy to the other 12 cities. In terms of the ecological relationships among the nodes, the 13-node model showed proportionally more competition relationships than the 3-node model. The relationships among Beijing, Tianjin, and Hebei were dominated by exploitation and control. Based on the analysis of flow and relationship, the importance of multi-scale model research is verified, which serves different research objectives and helps researchers choose the appropriate scale model under different data acquisition precision and research depth. (C) 2017 Elsevier B.V. All rights reserved.",,0,Tianjin; Tangshan; Beijing,CHN; CHN; CHN,10.1016/j.ecolmodel.2017.12.012,SRID=4326;POINT (117.17667 39.14222); SRID=4326;POINT (118.18333 39.63333); SRID=4326;POINT (116.39723 39.9075),11090314; 3372102; 11716620,Multi-scale analysis of the energy metabolic processes in the Beijing-Tianjin-Hebei (Jing-Jin-Ji) urban agglomeration,2018
16,WOS:000244848800006,"The energy demand at Murmansk Oblast in North-East Russia is covered at 60% by fossil fuels and at 40% by electricity. This study estimates the potential for reduction (.)of fossil fuel consumption and CO2-emissions at Murmansk Oblast. The study focus on the municipalities of Apatity and Kirovsk and the apatite ore mining company Apatit JSC. The potential for energy efficiency, reduced fossil fuel consumption and greenhouse gas emissions is estimated by comparison with the of city Kiruna in Northern Sweden, with a climate similar to that of North-East Russia, and with the iron ore mining company LKAB. This study shows that the potential for reduced CO(2)emissions is about 630,700 tons CO2 annually in the municipalities of Apatity and Kirovsk or 6.3 tons of CO2 per capita, Apatit JSC not included. These results applied on Murmansk Oblast gives a potential for reduced CO2-emissions of about 6Mtons annually in the municipalities together. The specific energy consumption at Apatit JSC is 6-7 times per ton product compared to LKAB. The mining has 4 times higher specific energy consumption per ton raw ore compared to LKAB. (c) 2006 Elsevier Ltd. All rights reserved.","Keikkala, G, Kask, A, Dahl, J, Malyshev, V, Kotomkin, V",7,Apatity; Kiruna; Kirovs’k,RUS; SWE; UKR,10.1016/j.enpol.2006.01.023,SRID=4326;POINT (33.4031 67.56413999999999); SRID=4326;POINT (20.22513 67.85572000000001); SRID=4326;POINT (38.6428 48.63751),61186; 17037; 40000,"Estimation of the potential for reduced greenhouse gas emission in North-East Russia: A comparison processing and residential heating of energy use in mining, mineral in Kiruna and Kirovsk-Apatity",2007
17,WOS:000245364500006,"Air pollution is one of the important causal factors for excess cardiorespiratory deaths and diseases. However, little information is available on health gains from clean energy usage in developing countries. In this study the expected population exposed to air pollutants was estimated under the different energy use scenarios by the year 2010, 2020 and 2030, respectively, in the urban area of Beijing, China. The concentration-response functions between air pollutants and the health endpoints were established using meta-analysis and regression models. The decreased cardiorespiratory deaths and diseases of the exposed population were predicted as the health benefits from air pollution reduction. We used daily measurements of particulate matter less than 10 gm in aerodynamic diameter (PM10) and sulphate dioxide (SO2) as air pollution indicators. The percentage of population exposed to higher level of PM10 will be decreased significantly under the clean energy use scenario than that under the Baseline Scenario (i.e., business-as-usual scenario). Compared with the Baseline Scenario there will be, by 2010, 2020, and 2030, respectively, a decrease of 29-152, 30-212 and 39-287 acute excess deaths; and 340-1811, 356-2529 and 462-3424 chronic excess deaths associated with the reduction of PM10 level; also a decrease of 237-331, 285-371 and 400-554 short-term excess deaths associated with the decrease of SO2 level. Meanwhile, the number of respiratory and cardiovascular hospital admissions, outpatient visits to internal and paediatrics departments, total emergency room visits and asthma attacks will be remarkably reduced with the reduction of air pollution. Energy structure improvement could reduce ambient air pollution and produce substantial health benefits to the population in Beijing. These findings may have significant implications for other metropolitan cities, particularly in developing countries. (c) 2007 Elsevier B.V. All rights reserved.",,16,Beijing,CHN,10.1016/j.scitotenv.2007.01.005,SRID=4326;POINT (116.39723 39.9075),11716620,"Health benefit evaluation of the energy use scenarios in Beijing, China",2007
18,WOS:000388560900018,"The increasing concentrations of methane (CH4) in the atmosphere stress the importance of monitoring and quantifying the fluxes from coastal environments. In nine sampling campaigns between 2013 and 2014, we measured the spatial CH4 concentrations, identified major sources and calculated the fluxes at the air-water interface in an eutrophic tropical embayment, Guanabara Bay, Rio de Janeiro, Brazil. The bay presented high spatial variability of CH4 concentrations, without a significant trend with salinity, but observed the influence of the urban areas at its watershed. Although the more polluted sector of the bay accounts for about 10% of the sampled surface area, it contributed to one half of the bay's total CH4 emissions. In most cases, high CH4 concentrations seemed be sustained by allochtonous sources such as the sewage network and polluted rivers, especially under high accumulated precipitation conditions. In the most stratified area, at the inner and centre of the Bay, CH4 concentrations were not significantly higher in bottom hypoxic waters than in surface waters, suggesting that CH4 diffusion from these sediments was modest, due to the prevalence of sulphate reduction over methanogenesis. Our calculated annual air-sea fluxes (565-980 mu mol m(-2) d(-1)) are well above those of most estuaries worldwide, showing that urban pollution can be an important source of CH4 to the coastal waters and even more significant than the presence of organic-rich environments, like salt marshes and mangroves. Comparing the greenhouse gas emissions in terms of CO2-equivalent, CH4 emissions reduced the net CO2 sink in Guanabara Bay by 16%.","Cotovicz, LC, Knoppers, BA, Brandini, N, Poirier, D, Santos, SJC, Abril, G",2,Bay Village,USA,10.1002/lno.10298,SRID=4326;POINT (-81.92207999999999 41.48477),15402,"Spatio-temporal variability of methane (CH4) concentrations and diffusive fluxes from a tropical coastal embayment surrounded by a large urban area (Guanabara Bay, Rio de Janeiro, Brazil)",2016
19,WOS:000299145100013,"Healthcare waste streams are persistent waste streams and which are consistently increasing in volume and complexity in developed and developing countries. When poorly managed, through inappropriate health care waste management systems, they can cause adverse effects to human health and the environment. This paper presents an evaluation of health care waste management systems in Cameroon, based on a survey of five health care facilities in the Southwestern Region of Cameroon. It is established that health care waste collection and handling systems including containers and bins for segregated wastes are generally in a poor state. A proportion of the waste stream is disposed of in open dumps in combination with municipal solid wastes while some are disposed of in incinerators which are often poorly designed. The waste stream is complex and heterogeneous with an average waste generation rate estimated at 4.4.9 kg/day equivalent to over 16 tonnes/annum comprising 49%, 16% and 14% of general, infectious and sharps respectively for a typical Health Care Facility in Buea which is a medium densely populated town. There is the potential to recover materials from this waste stream. if adequate waste management systems are developed and implemented. Separately recovering the uncontaminated general waste stream for a secondary market ultimately contributes to resource efficiencies and conservation of scarce natural resources. Reducing the waste quantities being incinerated results in less potential for persistent organic pollutants (POPs) and greenhouse gases to be released into the environment, thus contributing to global environmental benefits through climate change mitigation and pollution reduction. The study establishes that the little attention given to medical waste management results from a lack of an integrated approach to policy making at the highest level of decision-making. There is the need for legislation to allow for a more defined roles and responsibilities for health care personnel responsible for the handling and disposal of the waste streams at the point of generation in the health care facilities. Overall, there is the need to formulate more sustainable health care waste management legislation. (C) 2011 Elsevier B.V. All rights reserved.","Manga, VE, Forton, OT, Mofor, LA, Woodard, R",25,Buea,CMR,10.1016/j.resconrec.2011.10.002,SRID=4326;POINT (9.241 4.1527),47300,Health care waste management in Cameroon: A case study from the Southwestern Region,2011
20,WOS:000397356400010,"Beijing, as the capital of China, is under the high pressure of climate change and pollution. The consumption of non-renewable energy is one of the most important sources of the CO2 emissions, which cause climate changes. This paper presents a study on the energy system modelling towards renewable energy and low carbon development for the city of Beijing. The analysis of energy system modelling is organized in two steps to explore the alternative renewable energy system in Beijing. Firstly, a reference energy system of Beijing is created based on the available data in 2014. The EnergyPLAN, an energy system analysis tool, is chosen to develop the reference energy model. Secondly, this reference model is used to investigate the alternative energy system for integrating renewable energies. Three scenarios are developed towards the energy system of Beijing in 2030, which are: (i) reference scenario 2030, (ii) BAU (business as usual) scenario 2030, and (iii) RES (renewable energies) scenario 2030. The 100% renewable energy system with zero CO2 emissions can be achieved by increasing solar energy, biomass and municipal solid waste (MSW) and optimizing heating system. The primary fuel consumption is reduced to 155.9 TWh in the RES scenario, which is 72% of fuel consumption in the reference scenario 2030. (C) 2017 Elsevier Ltd. All rights reserved.",,3,Beijing,CHN,10.1016/j.energy.2017.01.019,SRID=4326;POINT (116.39723 39.9075),11716620,Energy modelling towards low carbon development of Beijing in 2030,2017
21,WOS:000315395400006,"With the rapid growth occurring in the urban regions of China, it is critical to address issues of sustainability through practices that engender holistic energy efficient solutions. In this paper, we present results from a collaborative design project carried out with planning officials from the city of Jinan (population 3.4 million), for the Luokou district, a 3.1 km(2) (1.2 mi(2)) area to the north of the CBD that is expected to house 100,000-130,000 people by 2020. By integrating sustainable building design, land use, urban design, and transportation, our proposal identified opportunities for improving energy efficiency that might have been overlooked by considering buildings and transportation separately. Mixed land uses and walkable neighborhoods were proposed along with highly differentiated street designs, intended to carry different traffic loads and prioritize diverse travel modes. Street widths and building heights were adjusted to maximize the potential for passive solar heating and daylight use within buildings. The district's environmental performance, analyzed using building energy evaluation and traffic micro simulation models, showed that the design would reduce energy loads by over 25% compared to business as usual. While the proposal complied with national and local policies, and had far better energy performance than conventional designs, the proposal ultimately was not accepted by local officials because initial costs to the developers were higher than for conventional designs.","Shirgaokar, M, Deakin, E, Duduta, N",1,Jinan,CHN,10.3390/en6020646,SRID=4326;POINT (116.99722 36.66833),4335989,"Integrating Building Energy Efficiency with Land Use and Transportation Planning in Jinan, China",2013
22,WOS:000347581900012,"This study advances an integrated MSW management model under inexact input information for the city of Beijing, China. The model is capable of simultaneously generating MSW management policies, performing GHG emission control, and addressing system uncertainty. Results suggest that: (1) a management strategy with minimal system cost can be obtained even when suspension of certain facilities becomes unavoidable through specific increments of the remaining ones; (2) expansion of facilities depends only on actual needs, rather than enabling the full usage of existing facilities, although it may prove to be a costly proposition; (3) adjustment of waste-stream diversion ratio directly leads to a change in GHG emissions from different disposal facilities. Results are also obtained from the comparison of the model with a conventional one without GHG emissions consideration. It is indicated that (1) the model would reduce the net system cost by [45, 611% (i.e., [3173, 3520] million dollars) and mitigate GHG emissions by [141, 179]% (i.e., [76, 81] million tons); (2) increased waste would be diverted to integrated waste management facilities to prevent overmuch CH4 emission from the landfills. (C) 2014 Elsevier B.V. All rights reserved.","Lu, HW, Sun, SC, Ren, LX, He, L",2,Beijing,CHN,10.1016/j.jhazmat.2014.10.051,SRID=4326;POINT (116.39723 39.9075),11716620,"GHG emission control and solid waste management for megacities with inexact inputs: A case study in Beijing, China",2015
